date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:41:55	2687/2687	---M--	200	added ('OK')	text/plain	date:Fri,%2015%20Mar%202013%2010:16:00%20GMT	http://saitobaza.ru/robots.txt		(from )
10:41:56	47413/47413	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202013%2008:41:59%20GMT	http://saitobaza.ru/	D:/work/verstka/saitobaza/mocha/saitobaza/saitobaza.ru/index.html	(from )
10:41:58	15266/15266	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Mar%202013%2010:23:06%20GMT	http://saitobaza.ru/wp-content/uploads/2012/12/turbo121220122149460001.png	D:/work/verstka/saitobaza/mocha/saitobaza/saitobaza.ru/wp-content/uploads/2012/12/turbo121220122149460001.png	(from http://saitobaza.ru/)
10:41:59	118813/118813	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202013%2008:42:00%20GMT	https://plus.google.com/118152068545448105558	D:/work/verstka/saitobaza/mocha/saitobaza/plus.google.com/118152068545448105558.html	(from http://saitobaza.ru/)
10:42:00	20/20	---M--	200	added ('OK')	text/javascript	date:Tue,%2010%20Dec%202013%2008:42:03%20GMT	http://saitobaza.ru/?wpui-script=before&ver=3.7.1	D:/work/verstka/saitobaza/mocha/saitobaza/saitobaza.ru/indexd1e6.html	(from http://saitobaza.ru/)
10:42:00	47117/47117	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202013%2008:42:03%20GMT	http://saitobaza.ru/category/blog	D:/work/verstka/saitobaza/mocha/saitobaza/saitobaza.ru/category/blog.html	(from http://saitobaza.ru/)
10:42:02	35685/35685	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202013%2008:42:05%20GMT	http://saitobaza.ru/category/portfolio	D:/work/verstka/saitobaza/mocha/saitobaza/saitobaza.ru/category/portfolio.html	(from http://saitobaza.ru/)
10:42:03	50983/50983	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202013%2008:42:06%20GMT	http://saitobaza.ru/soft-skripty.htm	D:/work/verstka/saitobaza/mocha/saitobaza/saitobaza.ru/soft-skripty.html	(from http://saitobaza.ru/)
10:42:07	50578/50578	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202013%2008:42:08%20GMT	http://saitobaza.ru/soft-skripty/key-collector-avtomaticheskoe-sostavlenie-semanticheskogo-yadra.htm	D:/work/verstka/saitobaza/mocha/saitobaza/saitobaza.ru/soft-skripty/key-collector-avtomaticheskoe-sostavlenie-semanticheskogo-yadra.html	(from http://saitobaza.ru/)
10:42:07	65493/65493	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202013%2008:42:08%20GMT	http://saitobaza.ru/soft-skripty/content-downloader-nedorogoj-universalnyj-parser-kontenta.htm	D:/work/verstka/saitobaza/mocha/saitobaza/saitobaza.ru/soft-skripty/content-downloader-nedorogoj-universalnyj-parser-kontenta.html	(from http://saitobaza.ru/)
10:42:09	53601/53601	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202013%2008:42:10%20GMT	http://saitobaza.ru/soft-skripty/wordpress.htm	D:/work/verstka/saitobaza/mocha/saitobaza/saitobaza.ru/soft-skripty/wordpress.html	(from http://saitobaza.ru/)
10:42:09	93435/93435	---MC-	200	added ('OK')	text/javascript	date:Fri,%2021%20Sep%202012%2018:24:20%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.8.2/jquery.min.js?ver=1.8.2	D:/work/verstka/saitobaza/mocha/saitobaza/ajax.googleapis.com/ajax/libs/jquery/1.8.2/jquery.minef6d.js	(from http://saitobaza.ru/)
10:42:11	54200/54200	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202013%2008:42:12%20GMT	http://saitobaza.ru/soft-skripty/zebroid.htm	D:/work/verstka/saitobaza/mocha/saitobaza/saitobaza.ru/soft-skripty/zebroid.html	(from http://saitobaza.ru/)
10:42:13	50374/50374	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202013%2008:42:14%20GMT	http://saitobaza.ru/uslugi.htm	D:/work/verstka/saitobaza/mocha/saitobaza/saitobaza.ru/uslugi.html	(from http://saitobaza.ru/)
10:42:15	49288/49288	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202013%2008:42:16%20GMT	http://saitobaza.ru/uslugi/avtomatizaciya.htm	D:/work/verstka/saitobaza/mocha/saitobaza/saitobaza.ru/uslugi/avtomatizaciya.html	(from http://saitobaza.ru/)
10:42:17	54181/54181	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202013%2008:42:18%20GMT	http://saitobaza.ru/uslugi/obuchenie.htm	D:/work/verstka/saitobaza/mocha/saitobaza/saitobaza.ru/uslugi/obuchenie.html	(from http://saitobaza.ru/)
10:42:21	72561/72561	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202013%2008:42:20%20GMT	http://saitobaza.ru/uslugi/parsing.htm	D:/work/verstka/saitobaza/mocha/saitobaza/saitobaza.ru/uslugi/parsing.html	(from http://saitobaza.ru/)
10:42:22	62662/62662	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202013%2008:42:22%20GMT	http://saitobaza.ru/uslugi/verstka.htm	D:/work/verstka/saitobaza/mocha/saitobaza/saitobaza.ru/uslugi/verstka.html	(from http://saitobaza.ru/)
10:42:23	52654/52654	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202013%2008:42:24%20GMT	http://saitobaza.ru/uslugi/verstka/forma-zayavki-na-verstku-sajta-i-natyazhku-na-cms.htm	D:/work/verstka/saitobaza/mocha/saitobaza/saitobaza.ru/uslugi/verstka/forma-zayavki-na-verstku-sajta-i-natyazhku-na-cms.html	(from http://saitobaza.ru/)
10:42:27	52288/52288	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202013%2008:42:29%20GMT	http://saitobaza.ru/kontakty.htm	D:/work/verstka/saitobaza/mocha/saitobaza/saitobaza.ru/kontakty.html	(from http://saitobaza.ru/)
10:42:28	58478/58478	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202013%2008:42:30%20GMT	http://saitobaza.ru/kontakty/obo-mne.htm	D:/work/verstka/saitobaza/mocha/saitobaza/saitobaza.ru/kontakty/obo-mne.html	(from http://saitobaza.ru/)
10:42:30	48731/48731	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202013%2008:42:32%20GMT	http://saitobaza.ru/category/gotovye-temy/wordpress	D:/work/verstka/saitobaza/mocha/saitobaza/saitobaza.ru/category/gotovye-temy/wordpress.html	(from http://saitobaza.ru/)
10:42:30	45095/45095	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202013%2008:42:32%20GMT	http://saitobaza.ru/uslugi/verstka-psd-na-wordpress.htm	D:/work/verstka/saitobaza/mocha/saitobaza/saitobaza.ru/uslugi/verstka-psd-na-wordpress.html	(from http://saitobaza.ru/)
10:42:32	52777/52777	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202013%2008:42:34%20GMT	http://saitobaza.ru/video-obuchenie-po-zebroidu.htm	D:/work/verstka/saitobaza/mocha/saitobaza/saitobaza.ru/video-obuchenie-po-zebroidu.html	(from http://saitobaza.ru/)
10:42:34	64193/64193	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202013%2008:42:35%20GMT	http://saitobaza.ru/usability-cheklist-habrahabr.htm	D:/work/verstka/saitobaza/mocha/saitobaza/saitobaza.ru/usability-cheklist-habrahabr.html	(from http://saitobaza.ru/)
10:42:36	49472/49472	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202013%2008:42:37%20GMT	http://saitobaza.ru/prazdnichnye-skidki-na-zebroid.htm	D:/work/verstka/saitobaza/mocha/saitobaza/saitobaza.ru/prazdnichnye-skidki-na-zebroid.html	(from http://saitobaza.ru/)
10:42:38	51178/51178	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202013%2008:42:38%20GMT	http://saitobaza.ru/skopirovat-stil-fotoshopa.htm	D:/work/verstka/saitobaza/mocha/saitobaza/saitobaza.ru/skopirovat-stil-fotoshopa.html	(from http://saitobaza.ru/)
10:42:42	70806/70806	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202013%2008:42:41%20GMT	http://saitobaza.ru/kak-podgotovit-psd-maket-dlya-pravilnoj-verstki.htm	D:/work/verstka/saitobaza/mocha/saitobaza/saitobaza.ru/kak-podgotovit-psd-maket-dlya-pravilnoj-verstki.html	(from http://saitobaza.ru/)
10:42:42	55985/55985	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202013%2008:42:42%20GMT	http://saitobaza.ru/css3ps-plagin-dlya-kopirovaniya-stilej-sloev-photoshopa.htm	D:/work/verstka/saitobaza/mocha/saitobaza/saitobaza.ru/css3ps-plagin-dlya-kopirovaniya-stilej-sloev-photoshopa.html	(from http://saitobaza.ru/)
10:42:44	51082/51082	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202013%2008:42:44%20GMT	http://saitobaza.ru/kachestvennyj-i-nedorogoj-xosting.htm	D:/work/verstka/saitobaza/mocha/saitobaza/saitobaza.ru/kachestvennyj-i-nedorogoj-xosting.html	(from http://saitobaza.ru/)
10:42:44	3545/3545	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Dec%202013%2022:52:38%20GMT	http://saitobaza.ru/wp-content/uploads/2013/12/website-usability-checklist-guidelines1-120x80.jpg	D:/work/verstka/saitobaza/mocha/saitobaza/saitobaza.ru/wp-content/uploads/2013/12/website-usability-checklist-guidelines1-120x80.jpg	(from http://saitobaza.ru/)
10:42:46	4073/4073	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Dec%202013%2011:23:17%20GMT	http://saitobaza.ru/wp-content/uploads/2013/12/zzzebraPDF-23-1-120x67.jpg	D:/work/verstka/saitobaza/mocha/saitobaza/saitobaza.ru/wp-content/uploads/2013/12/zzzebraPDF-23-1-120x67.jpg	(from http://saitobaza.ru/)
10:42:47	5047/5047	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Dec%202013%2016:51:01%20GMT	http://saitobaza.ru/wp-content/uploads/2013/12/css3ps2-120x90.jpg	D:/work/verstka/saitobaza/mocha/saitobaza/saitobaza.ru/wp-content/uploads/2013/12/css3ps2-120x90.jpg	(from http://saitobaza.ru/)
10:42:50	60575/60575	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Dec%202013%2022:52:36%20GMT	http://saitobaza.ru/wp-content/uploads/2013/12/website-usability-checklist-guidelines1.jpg	D:/work/verstka/saitobaza/mocha/saitobaza/saitobaza.ru/wp-content/uploads/2013/12/website-usability-checklist-guidelines1.jpg	(from http://saitobaza.ru/)
10:42:50	81471/81471	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202013%2008:42:52%20GMT	http://saitobaza.ru/skidka-na-zebroid.htm	D:/work/verstka/saitobaza/mocha/saitobaza/saitobaza.ru/skidka-na-zebroid.html	(from http://saitobaza.ru/)
10:42:53	48633/48633	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202013%2008:42:55%20GMT	http://saitobaza.ru/verstka-htmlcssjs-buxmejster.htm	D:/work/verstka/saitobaza/mocha/saitobaza/saitobaza.ru/verstka-htmlcssjs-buxmejster.html	(from http://saitobaza.ru/)
10:42:57	72667/72667	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202013%2008:42:56%20GMT	http://saitobaza.ru/metody-generacii-pravilnoj-karty-sajta-sitemap.htm	D:/work/verstka/saitobaza/mocha/saitobaza/saitobaza.ru/metody-generacii-pravilnoj-karty-sajta-sitemap.html	(from http://saitobaza.ru/)
